Timestamp,Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C),current_fullness,fill_rate,hour,dayofweek
2025-11-25 10:43:52.997000+00:00,2025-11-25T10:43:52.997Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:44:10.079000+00:00,2025-11-25T10:44:10.079Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:44:24.332000+00:00,2025-11-25T10:44:24.332Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:44:38.058000+00:00,2025-11-25T10:44:38.058Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:44:52.916000+00:00,2025-11-25T10:44:52.916Z,3,82.0,CLOSED,53.33,82,47.0,10,1
2025-11-25 10:45:08.502000+00:00,2025-11-25T10:45:08.502Z,3,82.0,CLOSED,53.33,82,47.6,10,1
2025-11-25 10:45:23.127000+00:00,2025-11-25T10:45:23.127Z,3,82.0,CLOSED,53.33,82,48.2,10,1
2025-11-25 10:45:38.029000+00:00,2025-11-25T10:45:38.029Z,3,82.0,CLOSED,37.22,82,48.8,10,1
2025-11-25 10:45:58.885000+00:00,2025-11-25T10:45:58.885Z,3,82.0,CLOSED,53.33,82,49.4,10,1
2025-11-25 10:46:09.195000+00:00,2025-11-25T10:46:09.195Z,3,82.0,CLOSED,36.67,82,50.0,10,1
2025-11-25 10:46:24.497000+00:00,2025-11-25T10:46:24.497Z,3,82.0,CLOSED,53.33,82,50.6,10,1
2025-11-25 10:46:39.390000+00:00,2025-11-25T10:46:39.390Z,3,82.0,CLOSED,53.33,82,51.2,10,1
2025-11-25 10:46:53.887000+00:00,2025-11-25T10:46:53.887Z,3,82.0,CLOSED,53.33,82,51.8,10,1
2025-11-25 10:47:08.447000+00:00,2025-11-25T10:47:08.447Z,3,82.0,CLOSED,53.33,82,52.4,10,1
2025-11-25 10:47:23.014000+00:00,2025-11-25T10:47:23.014Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:47:39.963000+00:00,2025-11-25T10:47:39.963Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:47:53.261000+00:00,2025-11-25T10:47:53.261Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:48:08.074000+00:00,2025-11-25T10:48:08.074Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:48:22.921000+00:00,2025-11-25T10:48:22.921Z,3,82.0,CLOSED,53.33,82,53.0,10,1
