Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C)
2025-11-14T04:29:25.531Z,15,11,CLOSED,53.33
2025-11-14T04:29:40.531Z,13,23,CLOSED,53.33
2025-11-14T04:29:55.639Z,13,23,CLOSED,37.22
2025-11-14T04:30:10.467Z,13,23,CLOSED,53.33
2025-11-14T04:30:25.563Z,15,11,CLOSED,53.33
2025-11-14T04:30:40.403Z,13,23,CLOSED,37.22
2025-11-14T04:30:55.542Z,15,11,CLOSED,53.33
2025-11-14T04:31:10.779Z,15,11,CLOSED,36.11
2025-11-14T04:31:26.362Z,15,11,CLOSED,37.78
2025-11-14T04:31:40.587Z,13,23,CLOSED,53.33
2025-11-14T04:31:55.700Z,15,11,CLOSED,53.33
2025-11-14T04:32:10.451Z,15,11,CLOSED,37.22
2025-11-14T04:32:25.840Z,13,23,CLOSED,53.33
2025-11-14T04:32:40.599Z,15,11,CLOSED,53.33
2025-11-14T04:32:55.843Z,15,11,CLOSED,37.22
2025-11-14T04:33:10.611Z,15,11,CLOSED,53.33
2025-11-14T04:33:25.577Z,15,11,CLOSED,53.33
2025-11-14T04:33:40.815Z,15,11,CLOSED,36.67
2025-11-14T04:33:55.972Z,15,11,CLOSED,53.33
2025-11-14T04:34:10.451Z,15,11,CLOSED,53.33
2025-11-14T04:34:25.468Z,15,11,CLOSED,36.67
2025-11-14T04:34:40.354Z,15,11,CLOSED,53.33
2025-11-14T04:34:55.526Z,15,11,CLOSED,53.33
2025-11-14T04:35:10.489Z,15,11,CLOSED,53.33
2025-11-14T04:35:25.443Z,15,11,CLOSED,53.33
2025-11-14T04:35:40.691Z,15,11,CLOSED,53.33
2025-11-14T04:35:55.674Z,15,11,CLOSED,53.33
2025-11-14T04:36:10.583Z,15,11,CLOSED,53.33
2025-11-14T04:36:25.816Z,15,11,CLOSED,53.33
2025-11-14T04:36:40.497Z,15,11,CLOSED,53.33
2025-11-14T04:36:55.733Z,15,11,CLOSED,53.33
2025-11-14T04:37:10.466Z,15,11,CLOSED,53.33
2025-11-14T04:37:25.410Z,15,11,CLOSED,36.11
2025-11-14T04:37:40.433Z,15,11,CLOSED,53.33
2025-11-14T04:37:56.085Z,15,11,CLOSED,53.33
2025-11-24T04:55:55.793Z,14,17,CLOSED,53.33
2025-11-24T04:56:04.731Z,15,11,OPEN,53.33
2025-11-24T04:56:06.221Z,15,11,CLOSED,53.33
2025-11-24T04:56:17.450Z,15,11,OPEN,53.33
2025-11-24T04:56:18.248Z,15,11,CLOSED,53.33
2025-11-24T04:57:12.635Z,15,11,CLOSED,53.33
2025-11-24T04:57:27.801Z,16,5,CLOSED,53.33
2025-11-24T04:57:41.504Z,16,5,CLOSED,53.33
2025-11-24T04:57:43.883Z,16,5,OPEN,53.33
2025-11-24T04:57:46.010Z,15,11,CLOSED,32.78
2025-11-24T04:58:01.841Z,16,5,CLOSED,53.33
2025-11-24T04:58:16.934Z,16,5,CLOSED,53.33
2025-11-24T04:58:32.153Z,16,5,CLOSED,53.33
2025-11-24T04:58:46.875Z,16,5,CLOSED,53.33
2025-11-24T04:59:02.329Z,16,5,CLOSED,53.33
2025-11-24T04:59:17.032Z,16,5,CLOSED,53.33
2025-11-24T04:59:32.223Z,16,5,CLOSED,53.33
2025-11-24T04:59:47.041Z,15,11,CLOSED,53.33
2025-11-24T05:00:01.962Z,16,5,CLOSED,53.33
